Operation #,Agency Number,Operation/Caregiver Name,Address,City,State,Zip,County,Phone,Type,Status,Issue Date,Capacity,Email Address,Facility ID,Monitoring Frequency,Infant,Toddler,Preschool,School
"834693","","Baytown Head Start","1725 N PRUETT ST ","BAYTOWN","TX","77520","HARRIS",281-428-7727,"Licensed Center - Child Care Program","Full Permit",1/14/2004,140,"hsoperations@hcde-texas.org","240308","","N","N","Y","Y"
"826671","","Be Thi Nguyen","14506 SWEETWATER VIEW DR ","HOUSTON","TX","77047","HARRIS",713-734-1984,"Registered Child-Care Home","Registered",3/27/2003,12,"","223577","","Y","Y","Y","Y"
"905251","","Be Thi Nguyen","11127 BLUE FEATHER DR ","HOUSTON","TX","77064","HARRIS",281-807-0727,"Registered Child-Care Home","Registered",10/8/2008,12,"","366571","","Y","Y","Y","Y"
"179365","","Beacon School and Child Care","402 DWIRE DR ","LA PORTE","TX","77571","HARRIS",281-471-3622,"Licensed Center - Child Care Program","Full Permit",11/18/1985,49,"","98949","","Y","Y","Y","Y"
"813483","","Bear BLVD Child Care Center","8860 WESTVIEW DR ","HOUSTON","TX","77055","HARRIS",713-251-5245,"Licensed Center - Child Care Program","Full Permit",7/1/2002,65,"raquel.holguin-gramajo@springbranchisd.com","198862","","Y","Y","Y","N"
"216660","","Bear Creek UMC School","16000 RIPPLING WATER DR ","HOUSTON","TX","77084","HARRIS",281-463-2969,"Licensed Center - Child Care Program","Full Permit",5/16/1986,175,"bcumcschool@yahoo.com","101980","","Y","Y","Y","N"
"839186","","Beary Patch 2","172 WILLOW ST ","HUMBLE","TX","77338","HARRIS",281-446-6872,"Licensed Center - Child Care Program","Full Permit",12/3/2004,56,"liz_rodriguez04@yahoo.com","250534","","Y","Y","Y","Y"
"854578","","Beatrice Diala","10510 ADAMSBOROUGH DR ","HOUSTON","TX","77099","HARRIS",281-933-8931,"Registered Child-Care Home","Registered",12/21/2005,12,"beatricediala@yahoo.com","283625","","Y","Y","Y","Y"
"249821","","Becker Early Childhood Center","1500 SUNSET BLVD ","HOUSTON","TX","77005","HARRIS",713-535-6400,"Licensed Center - Child Care Program","Full Permit",10/26/1990,242,"becdir@emanuelhouston.org","108792","","Y","Y","Y","Y"
"62448","","Beehive Parent Child Center","3756 UNIVERSITY BLVD ","HOUSTON","TX","77005","HARRIS",713-660-7642,"Licensed Center - Child Care Program","Full Permit",11/22/1985,40,"director@beehivecoop.org","95470","","N","Y","Y","Y"
"895698","","Beginners World Learning Academy","17303 KUYKENDAHL RD ","SPRING","TX","77379","HARRIS",281-257-3930,"Licensed Center - Child Care Program","Full Permit",12/16/2008,159,"BWLA@att.net","355047","","Y","Y","Y","Y"
"1619624","","Beginning Phases Learning Academy","5703 GROVETON ST ","HOUSTON","TX","77033","HARRIS",832-202-5695,"Licensed Center - Child Care Program","Renewed Initial",9/30/2016,30,"","1237213","","Y","Y","Y","Y"
"559334","","Beginnings & Beyond","26501 BORDER ST ","SPRING","TX","77373","HARRIS",281-350-4012,"Licensed Center - Child Care Program","Full Permit",1/23/2002,99,"beginningsandbeyond@yahoo.com","173354","","Y","Y","Y","Y"
"821540","","Beginnings & Beyond Klein","5258 LOUETTA RD STE 190","SPRING","TX","77379","HARRIS",281-379-4014,"Licensed Center - Child Care Program","Full Permit",3/7/2003,100,"beginningsandbeyond@yahoo.com","213951","","Y","Y","Y","Y"
"869891","","Bekki Stepp","706 E AMHERST LN ","DEER PARK","TX","77536","HARRIS",281-542-6448,"Registered Child-Care Home","Registered",3/22/2007,12,"","311842","","Y","Y","Y","Y"
"1629232","","Belinda Alicia Loya","4239 E TERRACE CREEK CIR ","HOUSTON","TX","77014","HARRIS",832-778-0625,"Registered Child-Care Home","Registered",8/1/2016,12,"","1249224","","Y","Y","Y","Y"
"1500699","","Belinda Wynette Phan","14603 SWEETWATER VIEW DR ","HOUSTON","TX","77047","HARRIS",281-433-6595,"Registered Child-Care Home","Registered",11/20/2012,12,"","1094873","","Y","Y","Y","Y"
"1025426","","Bell's Little Angels Childcare & Learning Center","911 GEMINI ST ","HOUSTON","TX","77058","HARRIS",281-480-5437,"Licensed Center - Child Care Program","Full Permit",2/5/2010,142,"bellslittleangels09@gmail.com","512632","","Y","Y","Y","Y"
"1388586","","Bellfort Early Childhood Center","7647 BELLFORT ST ","HOUSTON","TX","77061","HARRIS",713-640-0950,"Licensed Center - Child Care Program","Full Permit",12/1/2011,227,"","956268","","N","N","Y","N"
"915089","","Benavidez Elementary Head Start","6262 GULFTON ST ","HOUSTON","TX","77081","HARRIS",713-273-3274,"Licensed Center - Child Care Program","Full Permit",7/8/2009,134,"mmorrow@neighborhood-centers.org","377661","","N","N","Y","Y"
"1617523","","Bendu  Davies","21002 ROYAL VILLA DR ","KATY","TX","77449","HARRIS",281-815-5999,"Registered Child-Care Home","Registered",2/22/2016,12,"","1234625","","Y","Y","Y","Y"
"1632524","","Beneke Elementary Koala Kare","3840 BRIARCHASE DR ","HOUSTON","TX","77014","HARRIS",713-205-6294,"Licensed Center - Before/After School Program","Initial",9/21/2016,100,"","1253387","","N","N","N","Y"
"1556517","","Benita Castro","25411 TERRAIN PARK DR ","SPRING","TX","77373","HARRIS",281-734-2688,"Licensed Child-Care Home","Full Permit",11/25/2014,12,"","1167086","","Y","Y","Y","Y"
"874315","","Bennie  Wardlaw","11015 BELLERIVE DR ","HOUSTON","TX","77072","HARRIS",281-879-0017,"Registered Child-Care Home","Registered",6/15/2007,12,"","317640","","Y","Y","Y","Y"
"534188","","Berea Christian Learning Center","300 N HIGHWAY 146 ","BAYTOWN","TX","77520","HARRIS",281-422-8977,"Licensed Center - Child Care Program","Full Permit",7/28/1998,39,"berea_daycare@verizon.net","153843","","Y","Y","Y","Y"
"518784","","Bering Drive Christian School","1910 BERING DR ","HOUSTON","TX","77057","HARRIS",713-780-1299,"Licensed Center - Child Care Program","Full Permit",5/15/1996,80,"school@beringfamily.org","143660","","N","Y","Y","N"
"1634424","","Bernadette Webb / HANDS WITH LOVING ARMS","6703 NUBEN ST ","HOUSTON","TX","77091","HARRIS",832-882-9613,"Registered Child-Care Home","Registered",9/14/2016,12,"","1255650","","Y","Y","Y","Y"
"1545335","","Bertha  Valdes","6126 SETTLERS LAKE CIR W ","KATY","TX","77449","HARRIS",281-858-4167,"Registered Child-Care Home","Registered",9/15/2014,12,"","1153131","","Y","Y","Y","Y"
"525594","","Bertha Alyce Center","5601 S BRAESWOOD BLVD ","HOUSTON","TX","77096","HARRIS",713-551-7200,"Licensed Center - Child Care Program","Full Permit",12/20/1996,352,"","148737","","Y","Y","Y","N"
"530555","","Bessie Williams","6003 SOUTHMONT ST ","HOUSTON","TX","77033","HARRIS",713-731-9019,"Registered Child-Care Home","Registered",6/10/1997,12,"","150986","","Y","Y","Y","Y"
"1150846","","Best Kids Academy","21915 ROYAL MONTREAL DR ","KATY","TX","77450","HARRIS",832-437-1777,"Licensed Center - Child Care Program","Full Permit",12/21/2010,187,"","666689","","N","Y","Y","Y"
"203993","","Beth Yeshurun School","4525 BEECHNUT ST ","HOUSTON","TX","77096","HARRIS",713-666-1884,"Licensed Center - Child Care Program","Full Permit",12/3/1985,290,"rsherman@byds.org","100711","","Y","Y","Y","Y"
"811672","","Bethany Christian School","3223 WESTHEIMER RD ","HOUSTON","TX","77098","HARRIS",713-524-0092,"Licensed Center - Child Care Program","Full Permit",4/16/2002,102,"","195059","","Y","Y","Y","N"
"65514","","Bethany Methodist Weekday School","3507 LINKWOOD DR ","HOUSTON","TX","77025","HARRIS",713-667-7155,"Licensed Center - Child Care Program","Full Permit",7/10/1986,154,"office@bethanydayschool.com","95657","","Y","Y","Y","Y"
"1200407","","Bethel's Family Christian Academy","14442 FONMEADOW DR ","HOUSTON","TX","77035","HARRIS",713-729-5672,"Licensed Center - Child Care Program","Full Permit",5/10/2011,237,"jholman@bethelsfamily.org","728149","","N","Y","Y","Y"
"1539304","","Bethel's Learning Center","11631 GLENWOLDE DR ","HOUSTON","TX","77099","HARRIS",281-568-4050,"Licensed Child-Care Home","Full Permit",1/6/2015,12,"","1144387","","Y","Y","Y","Y"
"1501133","","Bethune Academy YMCA Afterschool Program","2500 S VICTORY DR ","HOUSTON","TX","77088","HARRIS",832-385-2580,"Licensed Center - School Age Program","Full Permit",4/19/2013,45,"Donnie.Cook@ymcahouston.org","1095367","","N","N","Y","Y"
"855022","","Better Beginnings Childrens Center","17800 WEST RD ","HOUSTON","TX","77095","HARRIS",281-550-8811,"Licensed Center - Child Care Program","Full Permit",4/19/2006,175,"information@better-beginnings.com","284601","","Y","Y","Y","Y"
"543976","","BETTY FREEMAN","11811 GREENCANYON DR ","HOUSTON","TX","77044","HARRIS",832-245-2404,"Registered Child-Care Home","Registered",7/12/1999,12,"","161520","","Y","Y","Y","Y"
"1542583","","Betty's Play House","13031 NEWBROOK DR ","HOUSTON","TX","77072","HARRIS",281-306-4441,"Licensed Child-Care Home","Full Permit",7/20/2015,12,"","1149486","","Y","Y","Y","Y"
"904388","","Beverly Gray","17218 BLUSHING PEAR CT ","HOUSTON","TX","77084","HARRIS",281-463-3709,"Registered Child-Care Home","Registered",9/22/2008,12,"Beautifulmindslearningcenter@yahoo.com","365604","","Y","Y","Y","Y"
"1483446","","Beverly Jean Hammons","19308 STARS HOLLOW DR ","HOUSTON","TX","77073","HARRIS",281-784-2068,"Registered Child-Care Home","Registered",8/14/2012,12,"","1072909","","Y","Y","Y","Y"
"830745","","BI VAN NGO","13567 PASA ROBLES LN ","HOUSTON","TX","77083","HARRIS",281-498-5311,"Registered Child-Care Home","Registered",8/29/2003,12,"","231933","","Y","Y","Y","Y"
"1031786","","Bianca  Castro","14125 WAXAHACHIE ST ","HOUSTON","TX","77015","HARRIS",832-977-3645,"Registered Child-Care Home","Registered",9/9/2009,12,"","519489","","Y","Y","Y","Y"
"401228","","Bibian Gomes","9622 LONG BRANCH LN ","HOUSTON","TX","77055","HARRIS",713-461-5264,"Registered Child-Care Home","Registered",4/30/1990,12,"gomesbibian@gmail.com","116604","","Y","Y","Y","Y"
"1201366","","Bibs & Cribs Preschool and Nursery, Inc.","10860 JONES RD ","HOUSTON","TX","77065","HARRIS",281-890-2427,"Licensed Center - Child Care Program","Full Permit",3/15/2011,102,"bibsandcribspn@yahoo.com","729328","","Y","Y","Y","Y"
"1146146","","BIBS TO BAGS","14360 BELLAIRE BLVD STE 124","HOUSTON","TX","77083","HARRIS",281-495-4505,"Licensed Center - Child Care Program","Full Permit",12/3/2010,102,"BIBS2BAGS@YAHOO.COM","660728","","Y","Y","Y","Y"
"1643083","","Bich Ngoc Pham","14278 EMPANADA DR ","HOUSTON","TX","77083","HARRIS",832-335-3977,"Registered Child-Care Home","Registered",12/27/2016,12,"","1265407","","Y","Y","Y","Y"
"869215","","BICH THU NGUYEN","8714 HOLLOW BAY LN ","HOUSTON","TX","77095","HARRIS",832-726-8632,"Registered Child-Care Home","Registered",2/26/2007,12,"","310650","","Y","Y","Y","Y"
"855917","","Bich Van Thi Ngo","9911 CLEAR MEADOW LN ","HOUSTON","TX","77089","HARRIS",,"Registered Child-Care Home","Registered",12/30/2005,12,"","286522","","Y","Y","Y","Y"
"1533834","","Bich Van Thi Nguyen","6326 GLADEWELL DR ","HOUSTON","TX","77072","HARRIS",281-975-9938,"Registered Child-Care Home","Registered",3/10/2014,12,"","1136460","","N","N","Y","Y"
"1557908","","Bich-Anh Ly","12522 LIMA DR ","HOUSTON","TX","77099","HARRIS",832-367-3642,"Registered Child-Care Home","Registered",12/31/2014,12,"","1169009","","Y","Y","Y","Y"
"852440","","BICH-NGOC  THI NGUYEN","9215 CAMELIA CREST LN ","HOUSTON","TX","77064","HARRIS",713-896-8226,"Registered Child-Care Home","Registered",9/14/2005,12,"","279082","","Y","Y","Y","Y"
"836567","","BICH-NGOC THI HO","14711 RANCHO VISTA DR ","HOUSTON","TX","77083","HARRIS",281-568-0563,"Registered Child-Care Home","Registered",3/22/2004,12,"","244675","","Y","Y","Y","Y"
"1637124","","Big Blue Marble Academy","3001 W BAY AREA BLVD ","FRIENDSWOOD","TX","77546","HARRIS",281-557-2001,"Licensed Center - Child Care Program","Full Permit",10/5/2016,243,"","1258522","","Y","Y","Y","Y"
"1527803","","Big Brother and Little Sister Child Care Learning Center","7426 HOMESTEAD RD ","HOUSTON","TX","77028","HARRIS",713-491-9411,"Licensed Center - Child Care Program","Full Permit",7/8/2014,85,"bigbrolilsischildcare@yahoo.com","1128113","","Y","Y","Y","Y"
"864466","","Big Dreams & Lil Wonders Christian Academy # 2","11003 ANTOINE DR STE T","HOUSTON","TX","77086","HARRIS",281-895-6760,"Licensed Center - Child Care Program","Full Permit",2/23/2007,59,"","302589","","Y","Y","Y","Y"
"811507","","Big Dreams & Lil' Wonders Academy","11010 PERRY RD STE C","HOUSTON","TX","77064","HARRIS",281-894-6366,"Licensed Center - Child Care Program","Full Permit",4/3/2002,91,"bigdreamslil1ders@sbcglobal.net","194662","","Y","Y","Y","Y"
"1623502","","Big Dreams Learning Center","10904 SCARSDALE BLVD ","HOUSTON","TX","77089","HARRIS",281-464-2500,"Licensed Center - Child Care Program","Full Permit",9/7/2016,51,"","1241503","","Y","Y","Y","Y"
"1540222","","Binh Le","4438 WILDACRES DR ","HOUSTON","TX","77072","HARRIS",832-235-7947,"Registered Child-Care Home","Registered",6/26/2014,12,"","1145884","","N","Y","Y","Y"
"1524242","","Binh Phan","19707 DUSTY CREEK DR ","KATY","TX","77449","HARRIS",409-963-8745,"Registered Child-Care Home","Registered",9/23/2013,12,"","1123207","","Y","Y","Y","Y"
"866714","","BINH THI LUONG","2718 MILROY LN ","HOUSTON","TX","77066","HARRIS",281-537-8593,"Registered Child-Care Home","Registered",12/15/2006,12,"","306629","","Y","Y","Y","Y"
"829924","","Binh Thi Vu","9301 WESTWOOD VILLAGE DR ","HOUSTON","TX","77036","HARRIS",713-534-3527,"Registered Child-Care Home","Registered",7/11/2003,12,"","230196","","Y","Y","Y","Y"
"823497","","Binh Yen Luong","8231 FUQUA GARDENS DR ","HOUSTON","TX","77075","HARRIS",713-900-7584,"Registered Child-Care Home","Registered",12/9/2002,12,"","217542","","Y","Y","Y","Y"
"895721","","Biviana E Flores","14110 ELLA LEE LN ","HOUSTON","TX","77077","HARRIS",713-816-1804,"Registered Child-Care Home","Registered",6/6/2008,12,"","355090","","N","Y","Y","Y"
"855029","","Blanca  Lombrana","4638 DAISY MEADOW DR ","KATY","TX","77449","HARRIS",281-861-7040,"Registered Child-Care Home","Registered",12/12/2005,10,"","284623","","Y","Y","Y","Y"
"1630655","","Blanca Ruiz","3308 CEDARCREST DR ","PASADENA","TX","77503","HARRIS",832-229-3245,"Registered Child-Care Home","Registered",7/15/2016,8,"","1251033","","Y","Y","Y","Y"
"1405009","","Blessed Child Daycare","20806 CAMPHOR TREE DR ","KATY","TX","77449","HARRIS",281-599-8545,"Licensed Child-Care Home","Full Permit",7/27/2012,12,"","975314","","Y","Y","Y","Y"
"1623380","","Blessed Hands Daycare","13422 GALENA CREEK DR ","HOUSTON","TX","77086","HARRIS",832-723-9424,"Licensed Child-Care Home","Full Permit",10/4/2016,12,"pamartin826@aol.com","1241344","","Y","Y","Y","Y"
"1324586","","Blooming Daisies Learning Center","17118 W LITTLE YORK RD STE 101","HOUSTON","TX","77084","HARRIS",281-858-4445,"Licensed Center - Child Care Program","Full Permit",12/6/2011,181,"","879588","","Y","Y","Y","Y"
"1370726","","Blossom Heights Child Development Center","8702 LIPAN RD ","HOUSTON","TX","77063","HARRIS",713-780-8702,"Licensed Center - Child Care Program","Full Permit",3/6/2012,40,"","935610","","N","Y","Y","Y"
"1639393","","Bold Beginnings Daycare","12618 SEGREST DR ","HOUSTON","TX","77047","HARRIS",832-244-2188,"Licensed Child-Care Home","Initial",11/4/2016,12,"vvcjones@yahoo.com","1261174","","Y","Y","Y","Y"
"852231","","Bong T. Nguyen","13526 PARKSTONE VIEW DR ","HOUSTON","TX","77083","HARRIS",281-988-7993,"Registered Child-Care Home","Registered",9/12/2005,12,"","278673","","Y","Y","Y","Y"
"855673","","BONG VAN TRAN","13622 LA CONCHA LN ","HOUSTON","TX","77083","HARRIS",281-933-0838,"Registered Child-Care Home","Registered",12/21/2005,12,"","286008","","Y","Y","Y","Y"
"998986","","Bonne Vie School","4711 INGERSOLL ST ","HOUSTON","TX","77027","HARRIS",713-850-1803,"Licensed Center - Child Care Program","Full Permit",11/20/2009,42,"","482009","","N","Y","Y","Y"
"848830","","BONNY PAGEL","2313 HUFFMAN EASTGATE RD ","HUFFMAN","TX","77336","HARRIS",281-324-4457,"Registered Child-Care Home","Registered",6/14/2005,12,"astromom2005@aol.com","271452","","Y","Y","Y","Y"
"1201146","","Boone Elementary After School Program","11400 BISSONNET ST ","HOUSTON","TX","77099","HARRIS",281-498-8110,"Licensed Center - School Age Program","Full Permit",3/28/2011,40,"tameka.anderson@aliefisd.net","729088","","N","N","Y","Y"
"1630294","","Bowties & Tutus Childcare","11951 GALENTINE PT ","CYPRESS","TX","77429","HARRIS",248-797-1982,"Licensed Child-Care Home","Initial",9/1/2016,12,"","1250611","","Y","Y","Y","Y"
"915048","","Braeburn Elementary Head Start","7707 RAMPART ST ","HOUSTON","TX","77081","HARRIS",713-273-3274,"Licensed Center - Child Care Program","Full Permit",7/8/2009,132,"lhernandez2@neighborhood-centers.org","377600","","N","N","Y","Y"
"854116","","Brande Freeman","13210 CREEKVIEW PARK DR ","HOUSTON","TX","77082","HARRIS",346-888-5642,"Registered Child-Care Home","Registered",10/27/2005,12,"","282619","","Y","Y","Y","Y"
"1210946","","Brenda  Moore","13303 LAWNHAVEN DR ","HOUSTON","TX","77045","HARRIS",713-434-2487,"Registered Child-Care Home","Registered",10/15/2010,11,"","740069","","Y","Y","Y","Y"
"1353926","","Brenda & John H. Duncan Rise School Of Houston","5618 H. Mark Crosswell  Street Jr","Houston","TX","77021","HARRIS",713-532-7473,"Licensed Center - Child Care Program","Full Permit",2/7/2012,153,"kekennemer@riseschool.org","915992","","Y","Y","Y","Y"
"418273","","Brenda Francis","14519 KEMROCK DR ","HOUSTON","TX","77049","HARRIS",832-984-8760,"Registered Child-Care Home","Registered",5/30/2001,12,"","128524","","Y","Y","Y","Y"
"1551525","","Brenda J. Brown","19222 DESERT MOON DR ","CYPRESS","TX","77433","HARRIS",281-859-4117,"Registered Child-Care Home","Registered",10/21/2014,12,"","1160888","","Y","Y","Y","Y"
"1501753","","Brenda Joyce  Bob","16442 GASLAMP DR ","HOUSTON","TX","77095","HARRIS",281-855-8206,"Registered Child-Care Home","Registered",11/16/2012,11,"","1096008","","N","N","N","Y"
"1559884","","Brenda Nieswiadomy","11610 FALLWOOD DR ","HOUSTON","TX","77065","HARRIS",281-469-6834,"Licensed Child-Care Home","Full Permit",6/26/2015,12,"","1171950","","Y","Y","Y","Y"
"419478","","Brenda White","3907 MADDEN LN ","HOUSTON","TX","77047","HARRIS",713-738-9966,"Registered Child-Care Home","Registered",1/14/1993,12,"bmwajb@aol.com","129568","","N","N","N","N"
"541180","","Brentwood Childrens Academy","12511 STEEPLE WAY BLVD ","JERSEY VILLAGE","TX","77065","HARRIS",281-469-4080,"Licensed Center - Child Care Program","Full Permit",2/18/1999,170,"angie@brentwoodchildrensacademy.com","159288","","N","Y","Y","Y"
"541284","","Brentwood Childrens Academy 2","6903 HUFFMEISTER RD ","HOUSTON","TX","77084","HARRIS",281-463-7409,"Licensed Center - Child Care Program","Full Permit",2/5/1999,170,"angie@brentwoodchildrensacademy.com","159355","","N","Y","Y","Y"
"852336","","Brentwood Childrens Academy Eldridge","7210 N ELDRIDGE PKWY ","HOUSTON","TX","77041","HARRIS",713-466-9407,"Licensed Center - Child Care Program","Full Permit",2/27/2006,195,"ANGIE@BRENTWOODCHILDRENSACADEMY.COM","278873","","Y","Y","Y","Y"
"1147346","","Brian  Truong","6511 BRIAR GLADE DR ","HOUSTON","TX","77072","HARRIS",281-498-4022,"Registered Child-Care Home","Registered",6/4/2010,12,"","662469","","Y","Y","Y","Y"
"1513817","","Briar Patch Learning Center, Inc.","18107 KUYKENDAHL RD ","SPRING","TX","77379","HARRIS",281-257-0999,"Licensed Center - Child Care Program","Full Permit",10/25/2013,106,"lscott@briarpatchlc.com","1109925","","Y","Y","Y","Y"
"1637109","","Briar Patch Learning Center, Inc.","12283A VETERANS MEMORIAL DR ","HOUSTON","TX","77067","HARRIS",281-257-0999,"Licensed Center - Child Care Program","Initial",11/15/2016,63,"","1258497","","Y","Y","Y","Y"
"902019","","Briarmeadow Afterschool Program","3601 DUNVALE RD ","HOUSTON","TX","77063","HARRIS",713-781-1061,"Licensed Center - School Age Program","Full Permit",2/25/2009,102,"loriej@ymcahouston.org","363120","","N","N","N","Y"
"1579740","","BridgePoint Early Learning Academy","13277 KATY FWY ","HOUSTON","TX","77079","HARRIS",832-448-1330,"Licensed Center - Child Care Program","Full Permit",2/29/2016,105,"rmueller@bridgepointbible.org","1193564","","Y","Y","Y","Y"
"810630","","Bridget L Clark","6907 BANYAN ST ","HOUSTON","TX","77028","HARRIS",832-206-0755,"Registered Child-Care Home","Registered",10/1/2001,12,"bridget1212@usa.com","192389","","Y","Y","Y","Y"
"1161206","","BRIGHT ANGELS","1502 EL DORADO BLVD ","HOUSTON","TX","77062","HARRIS",281-486-7630,"Licensed Child-Care Home","Full Permit",10/6/2010,12,"","679808","","Y","Y","Y","Y"
"65794","","Bright Beginners Preschool and Infant Care","14225 HARGRAVE RD ","HOUSTON","TX","77070","HARRIS",281-469-2913,"Licensed Center - Child Care Program","Full Permit",12/29/1986,239,"kim.jurischk@thirstyforjesus.org","95678","","Y","Y","Y","Y"
"1000448","","Bright Beginnings Academy","1314 HOMER ST ","HOUSTON","TX","77091","HARRIS",713-681-0467,"Licensed Center - Child Care Program","Full Permit",11/18/2009,31,"edwinarunnels@gmail.com","483691","","Y","Y","Y","Y"
"1521168","","Bright Beginnings Learning Center","700 INDIAN SPRINGS RD ","MARSHALL","TX","75672","HARRISON",903-938-2205,"Licensed Center - Child Care Program","Full Permit",2/11/2014,175,"bright_beginnings700@yahoo.com","1118883","","Y","Y","Y","Y"
"1222354","","Bright Beginnings Learning Center","5629 KINGWOOD DR ","KINGWOOD","TX","77345","HARRIS",281-360-4500,"Licensed Center - Child Care Program","Full Permit",5/27/2011,267,"bblc@strawbridge-umc.org","753561","","Y","Y","Y","Y"
"503888","","Bright Futures Child Development Center","11944 VETERANS MEMORIAL DR ","HOUSTON","TX","77067","HARRIS",281-893-5757,"Licensed Center - Child Care Program","Full Permit",2/16/2000,272,"leonwynn4323@sbcglobal.net","132996","","Y","Y","Y","Y"
"1401906","","Bright Horizons Early Lrng Ctr @ 1505","1505 LOUISIANA ST ","HOUSTON","TX","77002","HARRIS",713-739-0230,"Licensed Center - Child Care Program","Full Permit",7/18/2012,223,"","971730","","Y","Y","Y","Y"
"555576","","Bright Horizons Houston","1001 MCKINNEY ST STE 170","HOUSTON","TX","77002","HARRIS",713-571-9747,"Licensed Center - Child Care Program","Full Permit",7/11/2001,51,"houston@brighthorizons.com","170520","","Y","Y","Y","Y"
"1643034","","Bright Leaders Child Care","230 ATASCOCITA RD APT 216","HUMBLE","TX","77396","HARRIS",832-292-2784,"Licensed Child-Care Home","Initial",2/7/2017,8,"","1265344","","N","Y","Y","Y"
"1124906","","Bright Star Learning Center","30218 TOMBALL PKWY ","TOMBALL","TX","77375","HARRIS",281-516-2960,"Licensed Center - Child Care Program","Full Permit",5/4/2010,54,"","633769","","Y","Y","Y","Y"
"854203","","Bright Stars Academy","712 E TIDWELL RD STE J","HOUSTON","TX","77022","HARRIS",713-695-8994,"Licensed Center - Child Care Program","Full Permit",3/22/2006,78,"b.academy@sbcglobal.net","282818","","Y","Y","Y","Y"
"1075446","","Bright Stars CDC","1306 FORESTBURG DR ","HOUSTON","TX","77038","HARRIS",281-447-3199,"Licensed Center - Child Care Program","Full Permit",7/13/2010,112,"","571528","","Y","Y","Y","Y"
"1510562","","Brighter Horizons Academy","5803 N FRY RD STE 114","KATY","TX","77449","HARRIS",281-550-3500,"Licensed Center - Child Care Program","Full Permit",10/4/2013,98,"","1106436","","Y","Y","Y","Y"
"1633978","","Brighter HorizonsDevelopment Center, LLC","2040 LOUETTA RD STE I","SPRING","TX","77388","HARRIS",281-528-0500,"Licensed Center - Child Care Program","Initial",8/26/2016,40,"","1255147","","N","Y","Y","Y"
"531060","","BRIGIDA MINOTTA","7918 EMPEROR LN ","HOUSTON","TX","77072","HARRIS",832-297-3669,"Registered Child-Care Home","Registered",3/6/2000,12,"","151399","","Y","Y","Y","Y"
"1625705","","Brigitte  Seri","8627 RUSTLING LVS DR ","HOUSTON","TX","77083","HARRIS",713-510-7111,"Registered Child-Care Home","Registered",6/6/2016,12,"","1244090","","Y","Y","Y","Y"
"1408786","","Brittany Allen","20411 MOON WALK DR ","HUMBLE","TX","77338","HARRIS",936-645-8165,"Registered Child-Care Home","Registered",2/16/2012,12,"","979868","","N","Y","Y","Y"
"1639287","","Brittney Faye Grayson","18418 DALE FOREST CT ","HUMBLE","TX","77346","HARRIS",832-931-4240,"Registered Child-Care Home","Registered",10/31/2016,12,"","1261086","","Y","Y","Y","Y"
"1428146","","Brooke's Learning Corner","8431 BIGWOOD ST ","HOUSTON","TX","77078","HARRIS",713-631-2853,"Licensed Child-Care Home","Full Permit",10/16/2012,12,"","1002448","","Y","Y","Y","Y"
"813755","","Brookhollow Christian Academy","5725 QUEENSTON BLVD ","HOUSTON","TX","77084","HARRIS",281-649-6813,"Licensed Center - Child Care Program","Full Permit",6/20/2002,300,"bwomack@churchwithoutwalls.org","199352","","Y","Y","Y","Y"
"538683","5211","Browning Head Start Center","607 NORTHWOOD ST ","HOUSTON","TX","77009","HARRIS",713-869-1684,"Licensed Center - Child Care Program","Full Permit",3/2/1999,87,"thayden@avancehouston.org","157301","","N","N","Y","N"
"552838","","Bs Children World Academy","8605 MESA DR ","HOUSTON","TX","77028","HARRIS",713-672-6504,"Licensed Center - Child Care Program","Full Permit",6/26/2001,77,"benetriab@aol.com","168320","","Y","Y","Y","Y"
"1359808","","Building Blocks Childcare","111 N MAIN ST ","HIGHLANDS","TX","77562","HARRIS",281-426-2221,"Licensed Center - Child Care Program","Full Permit",3/8/2012,56,"","922793","","Y","Y","Y","Y"
"1578002","","Building Blocks Childcare Center","11329 N SAM HOUSTON PKWY E ","HUMBLE","TX","77396","HARRIS",281-459-1415,"Licensed Center - Child Care Program","Full Permit",3/28/2016,17,"info@bblockscare.com","1191564","","Y","Y","Y","Y"
"1499680","","Building Blocks for Tots","6422 WHITBOURNE DR ","HOUSTON","TX","77084","HARRIS",281-617-8527,"Licensed Child-Care Home","Full Permit",4/22/2013,12,"","1093700","","Y","Y","Y","Y"
"869119","","Building Rainbows Day School","13922 SCHMIDT RD ","CYPRESS","TX","77429","HARRIS",281-890-7498,"Licensed Center - Child Care Program","Full Permit",3/14/2007,99,"building.rainbows@sbcglobal.net","310483","","Y","Y","Y","Y"
"1395007","","Building Rainbows-Tomball","910 VILLAGE SQUARE DR ","TOMBALL","TX","77375","HARRIS",281-547-0405,"Licensed Center - Child Care Program","Full Permit",4/27/2012,200,"","963750","","Y","Y","Y","Y"
"1586516","","Bushi Ban Almeda","8405 ALMEDA GENOA RD STE N","HOUSTON","TX","77075","HARRIS",713-822-7643,"Licensed Center - Before/After School Program","Full Permit",4/12/2016,40,"bushibanalmeda@gmail.com","1200859","","N","N","N","Y"
"828719","","Bushi Ban International","7770 SPENCER HWY ","PASADENA","TX","77505","HARRIS",281-479-7979,"Licensed Center - Child Care Program","Full Permit",3/17/2005,136,"nmonserrat1974@yahoo.com","227633","","N","N","Y","Y"
